algo,grid,seed,episode,global_step,episode_return,episode_length,success,epsilon,mean_loss
DQN,deceptive_grid,0,184,22051,-84.0,87,1,0.7506,0.217816
DQN,deceptive_grid,0,185,22087,-35.0,36,1,0.7502,0.223475
DQN,deceptive_grid,0,186,22243,-202.0,156,1,0.7484,0.195214
DQN,deceptive_grid,0,187,22322,-68.0,79,1,0.7475,0.197183
DQN,deceptive_grid,0,188,22362,-33.0,40,1,0.7471,0.173734
DQN,deceptive_grid,0,189,22415,-30.0,53,1,0.7465,0.181378
DQN,deceptive_grid,0,190,22423,9.0,8,1,0.7464,0.188891
DQN,deceptive_grid,0,191,22447,-24.0,24,1,0.7461,0.20071
DQN,deceptive_grid,0,192,22472,-31.0,25,1,0.7459,0.190639
DQN,deceptive_grid,0,193,22566,-80.0,94,1,0.7448,0.215175
DQN,deceptive_grid,0,194,22662,-100.0,96,1,0.7437,0.192407
DQN,deceptive_grid,0,195,22757,-92.0,95,1,0.7426,0.171145
DQN,deceptive_grid,0,196,22767,0.0,10,1,0.7425,0.184158
DQN,deceptive_grid,0,197,22838,-47.0,71,1,0.7417,0.188906
DQN,deceptive_grid,0,198,22858,-4.0,20,1,0.7415,0.170631
DQN,deceptive_grid,0,199,22997,-164.0,139,1,0.7399,0.16487
DQN,deceptive_grid,0,200,23079,-77.0,82,1,0.739,0.225902
DQN,deceptive_grid,0,201,23175,-107.0,96,1,0.7379,0.194637
DQN,deceptive_grid,0,202,23249,-78.0,74,1,0.7371,0.163658
DQN,deceptive_grid,0,203,23344,-78.0,95,1,0.736,0.167198
DQN,deceptive_grid,0,204,23462,-116.0,118,1,0.7347,0.171933
DQN,deceptive_grid,0,205,23477,-8.0,15,1,0.7345,0.147093
DQN,deceptive_grid,0,206,23481,9.0,4,1,0.7344,0.166418
DQN,deceptive_grid,0,207,23607,-133.0,126,1,0.733,0.195427
DQN,deceptive_grid,0,208,23639,-20.0,32,1,0.7327,0.168988
DQN,deceptive_grid,0,209,23648,5.0,9,1,0.7326,0.182696
DQN,deceptive_grid,0,210,23785,-144.0,137,1,0.731,0.161676
DQN,deceptive_grid,0,211,23855,-55.0,70,1,0.7302,0.149437
DQN,deceptive_grid,0,212,23905,-45.0,50,1,0.7296,0.147824
DQN,deceptive_grid,0,213,24067,-214.0,162,1,0.7278,0.170068
DQN,deceptive_grid,0,214,24127,-78.0,60,1,0.7271,0.166483
DQN,deceptive_grid,0,215,24162,-11.0,35,1,0.7267,0.154635
DQN,deceptive_grid,0,216,24200,-27.0,38,1,0.7263,0.16696
DQN,deceptive_grid,0,217,24239,-29.0,39,1,0.7259,0.158274
DQN,deceptive_grid,0,218,24327,-72.0,88,1,0.7249,0.14168
DQN,deceptive_grid,0,219,24376,-44.0,49,1,0.7243,0.131468
DQN,deceptive_grid,0,220,24396,-7.0,20,1,0.7241,0.136621
DQN,deceptive_grid,0,221,24430,-13.0,34,1,0.7237,0.130559
DQN,deceptive_grid,0,222,24463,-16.0,33,1,0.7233,0.144805
DQN,deceptive_grid,0,223,24550,-69.0,87,1,0.7224,0.178779
DQN,deceptive_grid,0,224,24659,-99.0,109,1,0.7211,0.162091
DQN,deceptive_grid,0,225,24668,9.0,9,1,0.721,0.159339
DQN,deceptive_grid,0,226,24686,-4.0,18,1,0.7208,0.154216
DQN,deceptive_grid,0,227,24751,-44.0,65,1,0.7201,0.159873
DQN,deceptive_grid,0,228,24818,-37.0,67,1,0.7193,0.149412
DQN,deceptive_grid,0,229,24914,-79.0,96,1,0.7182,0.151681
DQN,deceptive_grid,0,230,25002,-106.0,88,1,0.7172,0.146219
DQN,deceptive_grid,0,231,25128,-146.0,126,1,0.7158,0.172681
DQN,deceptive_grid,0,232,25166,-20.0,38,1,0.7154,0.158101
DQN,deceptive_grid,0,233,25177,2.0,11,1,0.7153,0.163002
DQN,deceptive_grid,0,234,25223,-32.0,46,1,0.7147,0.148782
DQN,deceptive_grid,0,235,25293,-68.0,70,1,0.7139,0.139347
DQN,deceptive_grid,0,236,25416,-112.0,123,1,0.7126,0.145894
DQN,deceptive_grid,0,237,25492,-57.0,76,1,0.7117,0.139262
DQN,deceptive_grid,0,238,25561,-61.0,69,1,0.7109,0.179202
DQN,deceptive_grid,0,239,25624,-52.0,63,1,0.7102,0.157515
DQN,deceptive_grid,0,240,25692,-53.0,68,1,0.7094,0.144748
DQN,deceptive_grid,0,241,25753,-55.0,61,1,0.7087,0.139528
DQN,deceptive_grid,0,242,25882,-103.0,129,1,0.7073,0.142997
DQN,deceptive_grid,0,243,26010,-104.0,128,1,0.7058,0.144658
DQN,deceptive_grid,0,244,26037,-29.0,27,1,0.7055,0.192348
DQN,deceptive_grid,0,245,26069,-34.0,32,1,0.7052,0.164676
DQN,deceptive_grid,0,246,26096,-11.0,27,1,0.7049,0.153515
DQN,deceptive_grid,0,247,26223,-154.0,127,1,0.7034,0.142729
DQN,deceptive_grid,0,248,26305,-104.0,82,1,0.7025,0.127033
DQN,deceptive_grid,0,249,26338,-26.0,33,1,0.7021,0.127663
DQN,deceptive_grid,0,250,26389,-48.0,51,1,0.7016,0.136313
DQN,deceptive_grid,0,251,26441,-29.0,52,1,0.701,0.127564
DQN,deceptive_grid,0,252,26479,-14.0,38,1,0.7005,0.131977
DQN,deceptive_grid,0,253,26593,-123.0,114,1,0.6992,0.150555
DQN,deceptive_grid,0,254,26632,-43.0,39,1,0.6988,0.132021
DQN,deceptive_grid,0,255,26728,-74.0,96,1,0.6977,0.126986
DQN,deceptive_grid,0,256,26774,-22.0,46,1,0.6972,0.124198
DQN,deceptive_grid,0,257,26823,-24.0,49,1,0.6966,0.117433
DQN,deceptive_grid,0,258,26877,-28.0,54,1,0.696,0.115698
DQN,deceptive_grid,0,259,26928,-62.0,51,1,0.6955,0.110635
DQN,deceptive_grid,0,260,26967,-11.0,39,1,0.695,0.105556
DQN,deceptive_grid,0,261,26971,1.0,4,1,0.695,0.126064
DQN,deceptive_grid,0,262,27046,-71.0,75,1,0.6941,0.150346
DQN,deceptive_grid,0,263,27052,4.0,6,1,0.6941,0.134958
DQN,deceptive_grid,0,264,27149,-108.0,97,1,0.693,0.123495
DQN,deceptive_grid,0,265,27180,-27.0,31,1,0.6926,0.121261
DQN,deceptive_grid,0,266,27212,-20.0,32,1,0.6922,0.109965
DQN,deceptive_grid,0,267,27264,-27.0,52,1,0.6917,0.128291
DQN,deceptive_grid,0,268,27313,-32.0,49,1,0.6911,0.106913
DQN,deceptive_grid,0,269,27375,-73.0,62,1,0.6904,0.110776
DQN,deceptive_grid,0,270,27429,-38.0,54,1,0.6898,0.114302
DQN,deceptive_grid,0,271,27476,-38.0,47,1,0.6893,0.099702
DQN,deceptive_grid,0,272,27530,-27.0,54,1,0.6886,0.152659
DQN,deceptive_grid,0,273,27555,-18.0,25,1,0.6884,0.10864
DQN,deceptive_grid,0,274,27589,-20.0,34,1,0.688,0.109532
DQN,deceptive_grid,0,275,27626,-33.0,37,1,0.6876,0.111214
DQN,deceptive_grid,0,276,27655,-10.0,29,1,0.6872,0.099891
DQN,deceptive_grid,0,277,27776,-134.0,121,1,0.6859,0.098667
DQN,deceptive_grid,0,278,27791,-5.0,15,1,0.6857,0.095301
DQN,deceptive_grid,0,279,27862,-59.0,71,1,0.6849,0.094553
DQN,deceptive_grid,0,280,27885,1.0,23,1,0.6846,0.08896
DQN,deceptive_grid,0,281,27978,-70.0,93,1,0.6836,0.090005
DQN,deceptive_grid,0,282,28030,-43.0,52,1,0.683,0.141182
DQN,deceptive_grid,0,283,28093,-65.0,63,1,0.6823,0.104296
DQN,deceptive_grid,0,284,28205,-127.0,112,1,0.681,0.09298
DQN,deceptive_grid,0,285,28266,-46.0,61,1,0.6803,0.088971
DQN,deceptive_grid,0,286,28268,11.0,2,1,0.6803,0.073941
DQN,deceptive_grid,0,287,28293,-19.0,25,1,0.68,0.083503
DQN,deceptive_grid,0,288,28354,-42.0,61,1,0.6793,0.094699
DQN,deceptive_grid,0,289,28374,-9.0,20,1,0.6791,0.094446
